quarter,town,flat_type,median_price
2022-04-01,Ang Mo Kio,3-room,365000.0
2022-04-01,Ang Mo Kio,4-room,515000.0
2022-04-01,Ang Mo Kio,5-room,785000.0
2022-07-01,Ang Mo Kio,3-room,365500.0
2022-07-01,Ang Mo Kio,4-room,516500.0
2022-07-01,Ang Mo Kio,5-room,800000.0
2022-10-01,Ang Mo Kio,3-room,378000.0
2022-10-01,Ang Mo Kio,4-room,555000.0
2022-10-01,Ang Mo Kio,5-room,868000.0
2023-01-01,Ang Mo Kio,3-room,380000.0
2023-01-01,Ang Mo Kio,4-room,605900.0
2023-01-01,Ang Mo Kio,5-room,785000.0
2023-04-01,Ang Mo Kio,3-room,380400.0
2023-04-01,Ang Mo Kio,4-room,520000.0
2023-04-01,Ang Mo Kio,5-room,697500.0
2023-07-01,Ang Mo Kio,3-room,385000.0
2023-07-01,Ang Mo Kio,4-room,538000.0
2023-07-01,Ang Mo Kio,5-room,725500.0
2023-10-01,Ang Mo Kio,3-room,388000.0
2023-10-01,Ang Mo Kio,4-room,594000.0
2023-10-01,Ang Mo Kio,5-room,788000.0
2024-01-01,Ang Mo Kio,3-room,399000.0
2024-01-01,Ang Mo Kio,4-room,531500.0
2024-01-01,Ang Mo Kio,5-room,905000.0
2024-04-01,Ang Mo Kio,3-room,402000.0
2024-04-01,Ang Mo Kio,4-room,612900.0
2024-04-01,Ang Mo Kio,5-room,780000.0
2024-07-01,Ang Mo Kio,3-room,410000.0
2024-07-01,Ang Mo Kio,4-room,568000.0
2024-07-01,Ang Mo Kio,5-room,920000.0
2024-10-01,Ang Mo Kio,3-room,422500.0
2024-10-01,Ang Mo Kio,4-room,590000.0
2024-10-01,Ang Mo Kio,5-room,820000.0
